sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,emotion
1,173.213,445.0693,259.7484,0.035414,1.825438,1879.318,4268.144,Happy
2,119.3535,238.9144,183.5432,0.043517,1.7385,900.2809,2731.502,Happy
3,170.8073,342.0865,295.4478,0.022256,1.477688,1525.397,2802.673,Happy
4,211.8641,525.1389,286.6913,0.045537,1.651563,1294.088,2912.171,Happy
5,93.47358,431.4441,228.8177,0.014125,1.629813,834.1687,2306.636,Happy
6,155.9386,443.1553,254.5471,0.018912,2.021,1117.555,3208.371,Happy
7,231.7308,480.4299,345.1156,0.020347,1.890625,834.6249,2532.988,Happy
8,142.9914,303.0308,237.587,0.045782,1.760188,387.1656,2840.693,Happy
9,76.19497,258.5848,198.69,0.016199,1.564625,324.9229,2078.094,Happy
10,215.2829,297.4101,253.0925,0.016345,1.10825,1447.368,2167.262,Happy
11,173.0154,304.2242,221.6364,0.027337,1.760188,1394.628,3050.768,Happy
12,139.5817,258.1641,209.0304,0.024183,1.238688,1478.872,3761.179,Happy
13,142.2111,187.5565,169.9659,0.023591,1.825438,325.6329,2419.697,Happy
14,189.2447,525.0176,291.5866,0.020668,1.695063,2558.398,4912.232,Happy
15,75.58728,485.4878,294.7904,0.023721,1.31675,697.4617,2735.641,Happy
16,184.6172,271.0922,225.3489,0.017638,1.303875,796.9447,N/A,Happy
17,216.0731,571.3086,329.0262,0.036052,1.369063,994.5234,3643.075,Happy
18,184.7201,403.2307,253.2319,0.01192,1.303875,1938.796,4273.107,Happy
19,210.9817,454.2159,284.8506,0.0167,1.43425,415.2068,2386.628,Happy
20,191.1592,416.5424,255.5722,0.03574,1.369063,2349.854,4722.16,Happy
21,223.8515,309.6309,263.7908,0.035929,1.43425,1365.563,2057.269,Happy
22,220.8953,538.2024,404.695,0.020808,1.303875,1549.671,3665.438,Happy
23,180.8895,403.4851,266.9982,0.015725,1.629813,1423.474,2342.383,Happy
24,184.7832,505.6497,392.3532,0.017104,1.43425,640.3432,2052.015,Happy
25,171.7256,240.3699,198.0668,0.016759,1.4995,2597.544,3496.642,Happy
26,211.0175,428.7351,283.7512,0.016635,1.499438,773.6788,1709.556,Happy
27,158.4457,407.678,241.2205,0.036356,1.499438,431.0699,3357.866,Happy
28,152.6982,234.7255,203.3325,0.015049,1.303875,1761.231,N/A,Happy
29,201.3948,419.4627,283.7988,0.039721,1.499438,2892.771,4689.9,Happy
30,176.7527,443.7871,248.846,0.015932,1.31675,547.7155,1518.252,Happy
31,153.6372,322.6144,211.9342,0.03536,1.629813,1400.637,3503.558,Happy
32,126.7213,225.9956,180.8014,0.029943,1.499438,1065.586,3173.467,Happy
33,144.9757,406.4095,256.6919,0.029032,1.43425,1194.805,2245.701,Happy
34,190.8724,247.0263,208.3862,0.016572,1.43425,1086.032,3717.334,Happy
35,242.5902,445.7201,336.2555,0.013016,1.238688,2669.41,4810.348,Happy
36,135.8953,189.7935,168.509,0.025356,1.10825,1227.962,4119.934,Happy
37,222.7019,492.3087,276.596,0.019925,1.369063,2558.291,4239.993,Happy
38,201.6536,351.5158,233.3955,0.019482,1.466875,994.8195,2342.034,Happy
39,201.1579,431.4155,265.7921,0.025169,1.303875,425.1117,2883.636,Happy
40,159.8229,259.7851,213.3776,0.016015,1.1735,651.2486,2980.008,Happy
41,223.1243,571.0144,393.1005,0.03153,1.303875,1511.024,4089.005,Happy
42,128.9536,297.316,247.3491,0.043451,1.564688,306.0859,2662.934,Happy
43,200.1098,403.8631,286.2105,0.019615,1.173438,2253.44,4652.701,Happy
44,186.1877,268.4664,221.2474,0.009556,1.238688,329.7852,2434.098,Happy
45,216.6228,321.4638,261.2415,0.034545,1.185063,783.1439,3077.338,Happy
46,198.9196,493.0009,259.2837,0.013976,1.303875,1163.173,3985.177,Happy
47,125.5577,227.0866,190.9886,0.018043,1.434313,1015.145,3098.205,Happy
48,158.9133,257.116,223.4233,0.023048,1.613563,846.7754,2829.926,Happy
49,220.3082,522.244,327.662,0.020912,1.238688,1235.303,3608.173,Happy
50,177.4404,272.5488,217.7048,0.030614,1.678813,911.7006,2043.725,Happy
51,125.2547,213.0439,174.4644,0.002842,1.364688,1296.926,3273.434,Happy
52,134.9965,288.2411,218.7645,0.01024,1.055563,1154.231,3672.963,Happy
53,116.1354,236.1505,180.0776,0.004365,0.799625,527.0402,2544.029,Happy
54,159.7157,296.1341,224.0877,0.006584,1.066188,984.4141,3184.771,Happy
55,157.5462,412.1285,212.9469,0.001987,0.927563,989.4841,2417.029,Happy
56,98.62914,361.7479,249.2392,0.005028,1.031563,1095.746,2701.429,Happy
57,177.832,275.0991,235.5659,0.010433,1.1335,930.3978,3660.343,Happy
58,138.374,569.0313,288.3238,0.015039,1.279375,831.9843,3072.556,Happy
59,147.7107,275.3331,240.9277,0.01242,1.194125,2566.82,4541.577,Happy
60,144.8485,265.8996,227.3148,0.005806,1.080375,1189.342,2493.656,Happy
61,152.0776,262.4852,212.3271,0.008324,0.895563,735.4483,2796.181,Happy
62,80.94448,561.5536,324.7743,0.024513,1.9825,1034.956,2854.436,Happy
63,245.705,389.6143,340.679,0.025867,1.9825,348.7494,2472.785,Happy
64,189.9359,380.2215,324.979,0.013126,1.840875,140.0935,2488.077,Happy
65,192.3616,432.5179,266.4399,0.009025,0.895563,1055.627,1581.046,Happy
66,152.9049,291.3266,222.8495,0.008436,0.966625,1321.603,2607.46,Happy
67,169.2871,471.3989,290.2212,0.008975,0.90975,971.6493,3111.857,Happy
68,238.0098,335.7727,279.9386,0.005742,0.81025,1173.292,3023.77,Happy
69,108.4798,368.2193,262.7437,0.002568,0.81025,1324.104,2587.155,Happy
70,151.2811,576.6008,284.9566,0.001392,1.251,2306.589,4151.032,Happy
71,112.7664,259.4157,190.7533,0.011298,0.980875,1079.125,2711.016,Happy
72,120.6024,319.5133,247.5229,0.00546,0.724938,676.4127,2577.32,Happy
73,110.1337,245.2775,207.4441,0.004473,1.066188,662.946,2563.385,Happy
74,181.3557,283.4208,251.549,0.009216,1.23675,1293.243,2531.179,Happy
75,166.3876,259.3194,212.6372,0.004673,1.108813,1260.97,3835.573,Happy
76,213.9331,343.0017,283.8324,0.017396,1.279375,721.6599,2820.003,Happy
77,150.8851,382.0648,290.1381,0.005984,0.938188,2232.012,4012.023,Happy
78,113.4869,297.1899,217.3426,0.003901,0.895563,1385.573,4019.359,Happy
79,163.9406,293.9275,225.3558,0.002424,0.724938,1696.054,4080.07,Happy
80,164.2912,315.1245,263.6795,0.008457,1.279375,805.8565,3112.619,Happy
81,82.44898,278.2201,213.9823,0.006336,1.307813,961.6154,2335.621,Happy
82,163.8985,321.3482,267.0754,0.012478,1.0235,939.8029,2446.46,Happy
83,117.2856,243.8182,188.3015,0.003892,0.767688,827.4344,2355.204,Happy
84,239.8276,285.082,268.9106,0.012715,1.023563,1106.031,3464.519,Happy
85,227.1472,308.3552,278.2702,0.004366,0.81025,2540.98,4510.753,Happy
86,152.0102,283.4813,228.8225,0.010934,0.93825,694.4098,2740.307,Happy
87,184.3357,385.9447,266.0873,0.029281,1.151438,696.4315,3042.748,Happy
88,147.7626,256.8515,218.3087,0.00429,1.108813,663.2628,3275.982,Happy
89,156.307,229.5172,202.7081,0.002097,0.895625,784.0452,3051.989,Happy
90,231.7109,282.6701,258.0447,0.001322,1.023563,1020.959,2854.537,Happy
91,162.7028,265.4958,235.7816,0.012292,0.980875,1101.549,3115.955,Happy
92,167.7222,255.4515,222.105,0.007901,0.980875,1163.302,3274.034,Happy
93,206.1231,389.8943,279.078,0.001121,0.810313,2233.582,4324.091,Happy
94,238.1042,326.2182,271.0858,0.014623,0.767625,744.0081,2097.812,Happy
95,188.3669,278.7604,255.4779,0.019216,1.194063,885.4134,2607.02,Happy
96,165.0092,300.1057,231.2797,0.005538,0.93825,962.7781,1238.197,Happy
97,177.4284,312.2424,274.0919,0.019849,0.93825,1155.029,2098.734,Happy
98,274.1476,311.2598,294.8059,0.015561,0.81025,1063.971,2588.92,Happy
99,135.1051,306.4598,245.715,0.025411,1.13725,797.5013,3474.129,Happy
100,167.8425,241.892,214.4965,0.00353,1.279375,1217.031,3315.807,Happy
101,127.6162,435.4877,244.3426,0.002224,1.476313,1169.7,2727.832,Happy
102,135.9453,430.9798,248.7258,0.00363,1.476313,895.8828,2343.712,Happy
103,113.3841,226.9708,188.8479,0.001654,1.394313,2696.639,3763.276,Happy
104,195.3973,306.4748,260.9809,0.00882,1.476313,830.0073,1572.647,Happy
105,156.8596,260.6831,215.7304,0.001765,1.394313,787.6262,2325.943,Happy
106,135.9389,343.6857,260.7148,0.004515,1.394313,1541.209,4570.618,Happy
107,178.8962,593.0717,252.7653,0.005083,1.558313,2229.203,4442.708,Happy
108,129.973,226.3212,192.6544,0.004652,2.050438,709.6151,2304.278,Happy
109,154.0024,341.7523,245.0183,0.014092,1.31225,1024.835,3730.078,Happy
110,119.5139,350.7789,264.142,0.005882,1.312313,1128.561,2038.075,Happy
111,149.2974,294.8648,238.8069,0.009059,1.476313,785.1112,2630.491,Happy
112,143.0314,428.2949,300.6871,0.009021,1.31225,1366.415,1544.518,Happy
113,156.9761,195.2843,182.093,0.003633,1.476375,2388.731,2836.758,Happy
114,164.4848,271.585,240.4898,0.002802,1.722375,2456.377,3676.71,Happy
115,116.7277,293.7836,228.4502,0.020592,1.640375,310.828,2272.17,Happy
116,125.6032,239.9651,199.1084,0.0066,2.0505,431.9241,2513.51,Happy
117,138.3142,341.6685,244.4561,0.002951,1.230313,2312.666,4504.349,Happy
118,157.1881,200.2608,181.3586,0.001508,1.394313,2092.253,4174.371,Happy
119,273.2424,301.8499,286.2938,0.004505,1.804375,2836.436,4965.49,Happy
120,105.0112,339.037,241.8118,0.001797,0.984188,556.8705,2597.856,Happy
121,133.2011,335.7044,257.5843,0.016333,1.476313,1241.741,2800.513,Happy
122,241.681,436.9426,353.8224,0.00351,1.476313,2795.626,4670.096,Happy
123,151.9802,300.6187,237.36,0.006214,1.476313,2232.837,4173.627,Happy
124,179.0121,311.9022,253.9872,0.006764,1.31225,336.9604,2115.398,Happy
125,75.53854,287.1429,211.7448,0.00646,1.722375,2677.582,5390.28,Happy
126,132.639,300.9055,211.8848,0.010944,1.14825,904.1442,3334.914,Happy
127,117.6181,354.8627,230.9857,0.00499,1.230313,2924.561,4717.208,Happy
128,144.7282,332.9911,247.4914,0.004523,1.066188,885.5237,2394.922,Happy
129,106.9743,256.5387,185.5529,0.00434,1.312313,2676.407,3733.459,Happy
